Program,Fault
"#include <algorithm>
#include <vector>

int main() {
    std::vector<int> numbers = {5, 2, 8, 1, 9, 4};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {  // Fault: i <= numbers.size() should be i < numbers.size()
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <iostream>
#include <string>

int main() {
  std::string message = ""Hello, world!"";
  int len = message.length();
  std::string reversed_message = """";

  for (int i = 0; i < len; ++i) {
    reversed_message += message[len - i - 1];
  }

  std::cout << ""Original: "" << message << std::endl;
  std::cout << ""Reversed: "" << reversed_message << std::endl;
  return 0;
}",reversed_message += message[len - i - 1];
"#include <string>
#include <algorithm>

int main() {
    std::string text = ""This is a test sentence."";
    std::string vowels = ""aeiouAEIOU"";

    int vowel_count = 0;
    for (char c : text) {
        if (vowels.find(c) != std::string::npos)
            vowel_count++;
    }

    std::cout << ""Number of vowels: "" << vowel_count << std::endl;
    return 0;
}",if (vowels.find(c) != std::string::npos)
"#include <iostream>
#include <iomanip>

int main() {
    double pi = 3.14159;
    double radius = 5.0;
    double area = pi * radius * radius;
    std::cout << ""Area of the circle: "" << std::fixed << std::setprecision(2) << area << std::endl;
    return 0;
}",double area = pi * radius * radius;
"#include <iostream>
#include <map>

int main() {
    std::map<std::string, int> ages; 
    ages[""Alice""] = 30;
    ages[""Bob""] = 25;
    ages[""Charlie""] = 40;

    std::string name = ""David"";
    int age = ages[name]; // Should use ages.at(name) for error handling
    std::cout << ""David's age is: "" << age << std::endl; 

    return 0;
}",int age = ages[name];
"#include <iostream>
#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",for (int i = 0; i <= numbers.size(); ++i)
"#include <iostream>
#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = std::accumulate(numbers.begin(), numbers.end(), 0);
    
    // Incorrectly calculate the average. Should divide by numbers.size()
    double average = sum / 5.0;
    
    std::cout << ""Sum: "" << sum << std::endl;
    std::cout << ""Average: "" << average << std::endl;
    return 0;
}",double average = sum / 5.0;
"#include <iostream>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;

    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }

    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <map>
#include <iostream>

int main() {
    std::map<std::string, int> ages;
    ages[""Alice""] = 30;
    ages[""Bob""] = 25;
    ages[""Charlie""] = 40;

    std::string name = ""David"";
    int age = ages[name]; // Accessing non-existent key
    std::cout << ""David's age is: "" << age << std::endl;

    return 0;
}",int age = ages[name];
"#include <vector>
#include <numeric>

int main() {
  std::vector<int> data = {1, 2, 3, 4, 5};
  int sum = std::accumulate(data.begin(), data.begin() + 3, 0);
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}",data.begin() + 3
"#include <random>
#include <chrono>
#include <iostream>

int main() {
    std::random_device rd;
    std::mt19937 gen(rd());
    std::uniform_int_distribution<> distrib(1, 100);

    int sum = 0;
    for (int i = 0; i < 10; ++i) {
        int num = distrib(gen);
        if (num % 2 == 0) {
            sum += num;
        } else {
            sum -= num; // Fault: Should be sum *= num;
        }
    }

    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",sum -= num;
"#include <iostream>
#include <algorithm>
#include <vector>

int main() {
    std::vector<int> numbers = {5, 2, 8, 1, 9, 4};
    int target = 7;

    std::vector<int> result;
    std::copy_if(numbers.begin(), numbers.end(), std::back_inserter(result), [target](int n) {
        return n < target - 1; // Fault: Incorrect comparison, should be n < target;
    });

    std::cout << ""Numbers less than "" << target << "": "";
    for (int num : result) {
        std::cout << num << "" "";
    }
    std::cout << std::endl;

    return 0;
}",return n < target - 1;
"#include <algorithm>
#include <vector>

int main() {
    std::vector<int> numbers = {5, 2, 8, 1, 9, 4};
    int target = 7;

    std::vector<int> result;
    for (int num : numbers) {
        if (num > target) {
            result.push_back(num);
        }
    }

    // Incorrectly assuming the result contains all numbers greater than target.
    // Should check if result.empty() before printing.
    std::cout << ""Numbers greater than "" << target << "": "";
    for (int num : result) {
        std::cout << num << "" "";
    }
    std::cout << std::endl;

    return 0;
}",if (num > target) {
"#include <string>
#include <algorithm>

int main() {
    std::string str = ""hello world"";
    std::transform(str.begin(), str.end(), str.begin(), ::toupper);
    std::cout << str << std::endl;
    return 0;
}",::toupper
"#include <iostream>
#include <cmath>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    std::cout << ""Area of the circle: "" << area << std::endl;

    double circumference = 2 * M_PI * radius;
    std::cout << ""Circumference of the circle: "" << circumference << std::endl;

    // Incorrectly calculating diameter
    double diameter = circumference / M_PI;
    std::cout << ""Diameter of the circle: "" << diameter << std::endl;

    return 0;
}",double diameter = circumference / M_PI;
"#include <iostream>
#include <cmath>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    double expected_area = 78.5398;

    if (std::abs(area - expected_area) > 0.001) {
        std::cout << ""Area calculation is incorrect!"" << std::endl;
    } else {
        std::cout << ""Area calculation is correct."" << std::endl;
    }

    //Incorrect calculation for circumference
    double circumference = 2 * M_PI * radius - 1.0;

    std::cout << ""Circumference: "" << circumference << std::endl;
    return 0;
}",double circumference = 2 * M_PI * radius - 1.0;
"#include <vector>
#include <numeric>
#include <algorithm>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= data.size(); ++i) {  // Faulty loop condition
        sum += data[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= data.size()
"#include <iostream>
#include <cmath>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    std::cout << ""Area: "" << area << std::endl;
    
    double circumference = 2 * M_PI * radius;
    std::cout << ""Circumference: "" << circumference << std::endl;

    if (radius > 0) {
        std::cout << ""Radius is positive."" << std::endl;
    } else {
        std::cout << ""Radius is not positive."" << std::endl;
    }

    return 0;
}","else {
        std::cout << ""Radius is not positive."" << std::endl;
    }"
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    std::cout << ""Area: "" << area << std::endl;
    double perimeter = 2 * M_PI * radius;
    std::cout << ""Perimeter: "" << perimeter << std::endl;
    
    double circumference_error = M_PI + radius; // Incorrect calculation for circumference
    std::cout << ""Error Circumference: "" << circumference_error << std::endl;
    
    return 0;
}",double circumference_error = M_PI + radius;
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string str = ""hello world"";
    std::string sub = str.substr(1, 4);
    std::cout << sub << std::endl; // Should print ""ello"", but prints ""ello w""
    return 0;
}","std::string sub = str.substr(1, 4);"
"#include <iostream>
#include <map>

int main() {
    std::map<std::string, int> scores;
    scores[""Alice""] = 85;
    scores[""Bob""] = 92;
    scores[""Charlie""] = 78;

    int total_score = 0;
    for (auto const& [name, score] : scores) {
        total_score += score;
    }

    double average_score = total_score / scores.size(); // Integer division
    std::cout << ""Average score: "" << average_score << std::endl;

    return 0;
}",double average_score = total_score / scores.size();
"#include <iostream>
#include <map>

int main() {
    std::map<int, std::string> myMap;
    myMap[1] = ""one"";
    myMap[2] = ""two"";
    myMap[3] = ""three"";

    for (auto it = myMap.begin(); it != myMap.end(); ++it) {
        std::cout << it->first << "": "" << it->second << std::endl;
    }

    // Incorrectly attempting to access a non-existent key after iteration completes.
    if (myMap.find(4) != myMap.end()) {
        std::cout << ""Key 4 exists: "" << myMap[4] << std::endl;
    } else {
        std::cout << ""Key 4 does not exist."" << std::endl;
    }
    
    return 0;
}","if (myMap.find(4) != myMap.end()) {
        std::cout << ""Key 4 exists: "" << myMap[4] << std::endl;
    }"
"#include <vector>
#include <numeric>
#include <iostream>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    double sum = std::accumulate(numbers.begin(), numbers.end(), 0.0);
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",0.0
"#include <algorithm>
#include <vector>
#include <iostream>

int main() {
  std::vector<int> numbers = {5, 2, 8, 1, 9, 4};
  int target = 7;

  // Find the index of the target value
  auto it = std::find(numbers.begin(), numbers.end(), target);

  if (it != numbers.end()) {
    std::cout << ""Target found at index: "" << std::distance(numbers.begin(), it) << std::endl;
  } else {
    std::cout << ""Target not found."" << std::endl;
  }

  // Sort the vector in ascending order
  std::sort(numbers.begin(), numbers.end(), std::greater<int>()); // Intentionally using std::greater<int>()

  std::cout << ""Sorted vector: "";
  for (int num : numbers) {
    std::cout << num << "" "";
  }
  std::cout << std::endl;

  return 0;
}","std::sort(numbers.begin(), numbers.end(), std::greater<int>());"
"#include <iostream>
#include <string>
#include <algorithm>

int main() {
    std::string text = ""Hello, world! This is a test."";
    std::string searchTerm = ""world"";

    size_t pos = text.find(searchTerm, 5); // Start searching from index 5

    if (pos != std::string::npos) {
        std::cout << ""Search term found at position: "" << pos << std::endl;
    } else {
        std::cout << ""Search term not found."" << std::endl;
    }

    return 0;
}","text.find(searchTerm, 5)"
"#include <string>
#include <algorithm>

int main() {
  std::string text = ""Hello, World!"";
  std::string reversed_text = text;
  std::reverse(reversed_text.begin(), reversed_text.end());

  if (text == reversed_text) {
    std::cout << ""The string is a palindrome."" << std::endl;
  } else {
    std::cout << ""The string is not a palindrome."" << std::endl;
  }
  return 0;
}",if (text == reversed_text)
"#include <vector>
#include <algorithm>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    
    auto it = std::find(numbers.begin(), numbers.end(), 6); // Searching for 6

    if (it != numbers.end()) {
        std::cout << ""Found 6 at index: "" << std::distance(numbers.begin(), it) << std::endl; 
    } else {
        std::cout << ""6 not found."" << std::endl;
    }
    
    return 0;
}","auto it = std::find(numbers.begin(), numbers.end(), 6);"
"#include <iostream>
#include <string>

int main() {
    std::string text = ""Hello, world!"";
    size_t pos = text.find(""world"", 7); // Incorrect starting position
    if (pos != std::string::npos) {
        std::cout << ""Substring found at position: "" << pos << std::endl;
    } else {
        std::cout << ""Substring not found."" << std::endl;
    }
    return 0;
}","text.find(""world"", 7)"
"#include <iostream>
#include <map>

int main() {
    std::map<std::string, int> scores;
    scores[""Alice""] = 85;
    scores[""Bob""] = 92;
    scores[""Charlie""] = 78;

    std::string name = ""David"";
    int score = scores[name]; // Should check if 'name' exists first!
    std::cout << ""David's score: "" << score << std::endl;

    return 0;
}",int score = scores[name];
"#include <iostream>
#include <cmath>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    double expected_area = 78.5398;

    if (area == expected_area) {
        std::cout << ""Area is correct!"" << std::endl;
    } else {
        std::cout << ""Area is incorrect. Calculated: "" << area << std::endl;
    }

    return 0;
}",if (area == expected_area)
"#include <iostream>
#include <cmath>

int main() {
    double radius = 5.0;
    double circumference = 2 * M_PI * radius;
    double area = M_PI * radius * radius;

    std::cout << ""Circumference: "" << circumference << std::endl;
    std::cout << ""Area: "" << area << std::endl;

    // Incorrectly calculating diameter
    double diameter = circumference / M_PI;
    std::cout << ""Diameter: "" << diameter << std::endl;

    return 0;
}",double diameter = circumference / M_PI;
"#include <iostream>
#include <map>

int main() {
    std::map<int, std::string> myMap;
    myMap[1] = ""apple"";
    myMap[2] = ""banana"";
    myMap[3] = ""cherry"";

    for (auto it = myMap.begin(); it != myMap.end(); ++it) {
        std::cout << it->first << "": "" << it->second << std::endl;
    }

    //Incorrect loop condition.  Should be it != myMap.end()
    for (auto it = myMap.begin(); it < myMap.end(); ++it) {
        std::cout << ""looping incorrectly"" << std::endl;
    }

    return 0;
}",it < myMap.end()
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    double expected_area = 78.5398;

    if (area == expected_area) {
        std::cout << ""Area is correct!"" << std::endl;
    } else {
        std::cout << ""Area is incorrect! Calculated: "" << area << std::endl;
    }

    return 0;
}",if (area == expected_area)
"#include <map>
#include <iostream>

int main() {
    std::map<int, std::string> myMap;
    myMap[1] = ""one"";
    myMap[2] = ""two"";
    myMap[3] = ""three"";

    for (auto it = myMap.begin(); it != myMap.end(); ++it) {
        if (it->first == 2) {
            myMap.erase(it++); // Increment before erasing
        }
        std::cout << it->first << "": "" << it->second << std::endl;
    }

    return 0;
}",myMap.erase(it++);
"#include <algorithm>
#include <vector>

int main() {
    std::vector<int> data = {5, 2, 8, 1, 9, 4};
    int target = 7;

    std::vector<int> result;
    for (int x : data) {
        if (x < target) {
            result.push_back(x);
        }
    }

    // Incorrectly print the size of the original vector instead of the result vector
    std::cout << ""Number of elements less than target: "" << data.size() << std::endl;
    return 0;
}","std::cout << ""Number of elements less than target: "" << data.size() << std::endl;"
"#include <string>
#include <vector>
#include <algorithm>

int main() {
    std::vector<std::string> words = {""apple"", ""banana"", ""cherry"", ""date""};

    // Sort the words alphabetically, but inadvertently modify the vector in place.
    std::sort(words.begin(), words.end(), [](const std::string& a, const std::string& b) {
        return a.length() < b.length(); // Sort by length
    });

    // Print the sorted words.
    for (const std::string& word : words) {
        std::cout << word << std::endl;
    }

    return 0;
}",return a.length() < b.length();
"#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <iostream>
#include <iomanip>

int main() {
    double price = 9.99;
    int quantity = 5;
    double tax_rate = 0.07;

    double subtotal = price * quantity;
    double tax = subtotal * tax_rate;
    double total = subtotal + tax;

    std::cout << ""Subtotal: "" << std::fixed << std::setprecision(2) << subtotal << std::endl;
    std::cout << ""Tax: "" << std::fixed << std::setprecision(2) << tax << std::endl;
    std::cout << ""Total: "" << std::fixed << std::setprecision(2) << total << std::endl;

    return 0;
}","std::cout << ""Total: "" << std::fixed << std::setprecision(2) << total << std::endl;"
"#include <vector>
#include <numeric>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = std::accumulate(numbers.begin(), numbers.end(), 0);
    
    int product = 1;
    for (int i = 0; i < numbers.size(); ++i) {
       product *= numbers[i];
    }

    if (sum > product) {
        std::cout << ""Sum is greater than product."" << std::endl;
    } else {
        std::cout << ""Product is greater than or equal to sum."" << std::endl;
    }

    return 0;
}","if (sum > product) {
        std::cout << ""Sum is greater than product."" << std::endl;
    } else {
        std::cout << ""Product is greater than or equal to sum."" << std::endl;
    }"
"#include <array>
#include <numeric>
#include <iostream>

int main() {
  std::array<int, 5> data = {1, 2, 3, 4, 5};
  int sum = 0;
  for (size_t i = 0; i <= data.size(); ++i) {
    sum += data[i];
  }
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}",i <= data.size()
"#include <iostream>
#include <iomanip>

int main() {
    double price = 123.4567;
    std::cout << std::fixed << std::setprecision(2) << price << std::endl;
    double taxRate = 0.075;
    double taxAmount = price * taxRate;
    double totalCost = price + taxAmount;
    std::cout << ""Total cost: "" << std::fixed << std::setprecision(2) << totalCost << std::endl;
    return 0;
}","std::cout << ""Total cost: "" << std::fixed << std::setprecision(2) << totalCost << std::endl;"
"#include <random>
#include <numeric>
#include <algorithm>
#include <vector>

int main() {
    std::random_device rd; 
    std::mt19937 gen(rd());
    std::uniform_int_distribution<> distrib(1, 100);

    std::vector<int> numbers(10);
    for (int i = 0; i < 10; ++i) {
        numbers[i] = distrib(gen);
    }

    // Calculate the sum of squares of even numbers
    int sum_of_squares = 0;
    for (int i = 0; i < numbers.size(); ++i) {
        if (numbers[i] % 2 == 0) {
            sum_of_squares += numbers[i]; // Fault: Should be numbers[i] * numbers[i]
        }
    }

    std::cout << ""Sum of squares of even numbers: "" << sum_of_squares << std::endl;

    return 0;
}",sum_of_squares += numbers[i];
"#include <iostream>
#include <tuple>

int calculate_average(int a, int b, int c) {
  return (a + b + c) / 3.0; // Integer division unexpectedly.
}

int main() {
  int x = 5;
  int y = 10;
  int z = 15;
  double average = calculate_average(x, y, z);
  std::cout << ""Average: "" << average << std::endl;
  return 0;
}",return (a + b + c) / 3.0;
"#include <tuple>
#include <iostream>

int main() {
  std::tuple<int, double, std::string> data = std::make_tuple(10, 3.14, ""hello"");
  int integer_value = std::get<0>(data);
  double double_value = std::get<1>(data);
  std::string string_value = std::get<2>(data);

  std::cout << integer_value << ""\n"";
  std::cout << double_value << ""\n"";
  std::cout << string_value << ""\n"";

  // Incorrectly attempting to access the 4th element of the tuple.
  // This will cause a compile-time error because the tuple only has 3 elements.
  int fourth_value = std::get<3>(data);
  std::cout << fourth_value << std::endl;

  return 0;
}",int fourth_value = std::get<3>(data);
"#include <map>
#include <iostream>

int main() {
    std::map<int, std::string> myMap;
    myMap[1] = ""apple"";
    myMap[2] = ""banana"";
    myMap[3] = ""cherry"";

    for (const auto& pair : myMap) {
        std::cout << pair.first << "": "" << pair.second << std::endl;
    }

    myMap.erase(2);

    std::cout << ""After erasing element 2:\n"";
    for (const auto& pair : myMap) {
        std::cout << pair.first << "": "" << pair.second << std::endl;
    }

    std::cout << ""Accessing element with key 2: "" << myMap[2] << std::endl; // Fault
    return 0;
}","std::cout << ""Accessing element with key 2: "" << myMap[2] << std::endl;"
"#include <algorithm>
#include <vector>
#include <iostream>

int main() {
    std::vector<int> nums = {5, 2, 8, 1, 9, 4};
    int target = 7;
    
    std::vector<int> result;
    for (int num : nums) {
        if (num > target) {
            result.push_back(num);
        }
    }

    std::cout << ""Numbers greater than "" << target << "":"";
    for (int i = 0; i < result.size(); ++i) {
        std::cout << result[i] << (i == result.size() - 1 ? """" : "", "");
    }
    std::cout << std::endl;
    
    return 0;
}",if (num > target)
"#include <string>
#include <vector>
#include <algorithm>

int main() {
    std::vector<std::string> names = {""Alice"", ""Bob"", ""Charlie"", ""David""};
    std::string target = ""Bob"";

    auto it = std::find(names.begin(), names.end(), target);
    if (it != names.end()) {
        names.erase(it);
    }

    // Corrected: Iterate over the whole vector to find all occurrences. 
    // std::vector<std::string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Bob""};
    
    for (const auto& name : names) {
        std::cout << name << std::endl;
    }

    return 0;
}",names.erase(it);
"#include <vector>
#include <numeric>
#include <iostream>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= numbers.size(); ++i) {
        sum += numbers[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= numbers.size()
"#include <cmath>
#include <iostream>

int main() {
  double radius = 5.0;
  double area = M_PI * radius * radius;
  std::cout << ""Area: "" << area << std::endl;
  double perimeter = 2 * M_PI * radius;
  std::cout << ""Perimeter: "" << perimeter << std::endl;

  // Incorrect calculation of circumference (should be 2 * PI * r)
  double circumference = M_PI + radius;
  std::cout << ""Circumference: "" << circumference << std::endl;
  return 0;
}",double circumference = M_PI + radius;
"#include <set>
#include <iostream>

int main() {
  std::set<int> numbers = {1, 2, 3, 4, 5};
  
  for (int num : numbers) {
    if (num == 3) {
      break;
    }
    numbers.insert(num * 2); // Incorrect insertion within the loop
  }
  
  for (int num : numbers) {
    std::cout << num << "" "";
  }
  std::cout << std::endl;
  return 0;
}",numbers.insert(num * 2);
"#include <vector>
#include <numeric>
#include <algorithm>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    std::vector<int> even_numbers;

    for (int num : numbers) {
        if (num % 2 == 1) {
            even_numbers.push_back(num);
        }
    }

    int sum = std::accumulate(even_numbers.begin(), even_numbers.end(), 0);
    
    std::cout << ""Sum of even numbers: "" << sum << std::endl;
    return 0;
}",if (num % 2 == 1)
"#include <fstream>
#include <string>
#include <algorithm>

int main() {
  std::fstream file(""data.txt"", std::ios::out);
  if (file.is_open()) {
    std::string line = ""This is a line to write to the file"";
    file << line << std::endl;
    file.close();
  }
  else {
    std::cerr << ""Unable to open file"";
    return 1;
  }

  std::fstream infile(""data.txt"", std::ios::in);
  std::string content;
  if (infile.is_open()) {
    std::getline(infile, content);
    std::cout << ""File content: "" << content << std::endl;
    infile.close();
  } else {
    std::cerr << ""Unable to open file for reading"";
    return 1;
  }
  
  std::string expected = ""This is a line to write to the file"";
  if (content != expected) {
    std::cout << ""Match found!"" << std::endl;
  } else {
    std::cout << ""No match found!"" << std::endl;
  }

  return 0;
}","if (content != expected) {
    std::cout << ""Match found!"" << std::endl;
  } else {
    std::cout << ""No match found!"" << std::endl;
  }"
"#include <iostream>
#include <numeric>

int main() {
    std::vector<int> data = {1, 2, 3, 4, 5};
    int sum = 0;
    for (int i = 0; i <= data.size(); ++i) {  // Fault: Off-by-one error
        sum += data[i];
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",i <= data.size()
"#include <random> 
#include <chrono> 
#include <array>

int main() {
    std::random_device rd{};
    std::mt19937 gen{rd()};
    std::array<int, 5> arr = {1, 2, 3, 4, 5};

    for (int i = 0; i < 6; ++i) { // Fault: Loop iterates one too many times.
        std::uniform_int_distribution<> distrib{0, arr.size() - 1};
        int index = distrib(gen);
        std::cout << arr[index] << "" "";
    }
    std::cout << std::endl;
    return 0;
}",for (int i = 0; i < 6; ++i)
"#include <iostream>
#include <queue>

int main() {
    std::queue<int> q;
    q.push(1);
    q.push(2);
    q.push(3);

    while (!q.empty()) {
        int current = q.front();
        q.pop();

        if (current % 2 == 0) {
            // The fault is here: incorrect subtraction
            q.push(current - 2);
        } else {
            q.push(current + 1);
        }
    }

    std::cout << ""Queue size: "" << q.size() << std::endl;
    return 0;
}",q.push(current - 2);
"#include <map>
#include <iostream>

int main() {
    std::map<int, std::string> myMap;
    myMap[1] = ""one"";
    myMap[2] = ""two"";
    myMap[3] = ""three"";

    for (auto it = myMap.begin(); it != myMap.end(); ++it) {
        std::cout << it->first << "" : "" << it->second << std::endl;
    }

    std::cout << myMap[4] << std::endl; // Accessing a non-existent key

    return 0;
}",std::cout << myMap[4] << std::endl;
"#include <algorithm>
#include <array>

int main() {
  std::array<int, 5> data = {1, 2, 3, 4, 5};
  int sum = 0;
  for (size_t i = 0; i <= data.size(); ++i) { // Fault: Loop condition should be i < data.size()
    sum += data[i];
  }
  std::cout << ""Sum: "" << sum << std::endl;
  return 0;
}",i <= data.size()
"#include <string>
#include <algorithm>

int main() {
    std::string str = ""hello"";
    std::string reversed_str = str;
    std::reverse(reversed_str.begin(), reversed_str.end());

    if (str == reversed_str) {
        std::cout << ""Palindrome!"" << std::endl;
    } else {
        std::cout << ""Not a palindrome."" << std::endl;
    }

    std::string test_str = ""level"";
    std::string reversed_test_str = test_str;
    std::reverse(reversed_test_str.begin(), reversed_test_str.end());
    
    if (test_str == reversed_test_str) {
        std::cout << ""Palindrome!"" << std::endl;
    } else {
        std::cout << ""Not a palindrome."" << std::endl;
    }

    std::string another_str = ""rotor"";
    std::string reversed_another_str = another_str;
    std::reverse(reversed_another_str.begin(), reversed_another_str.end());

    if (another_str == reversed_another_str) {
        std::cout << ""Palindrome!"" << std::endl;
    } else {
        std::cout << ""Not a palindrome."" << std::endl;
    }

    return 0;
}",if (str == reversed_str)
"#include <queue>
#include <iostream>

int main() {
    std::queue<int> q;
    q.push(1);
    q.push(2);
    q.push(3);

    while (!q.empty()) {
        int current = q.front();
        q.pop();
        if (current == 2) {
           //incorrectly setting q.size() to 0. Should have just continued or manipulated the queue
           q.size() = 0;
        }
        std::cout << current << "" "";
    }
    std::cout << std::endl;
    return 0;
}",q.size() = 0;
"#include <cmath>
#include <iostream>

int main() {
    double radius = 5.0;
    double area = M_PI * radius * radius;
    std::cout << ""Area: "" << area << std::endl;
    double circumference = 2 * M_PI * radius;
    std::cout << ""Circumference: "" << circumference << std::endl;
    double perimeter = circumference;
    std::cout << ""Perimeter: "" << perimeter << std::endl;
    return 0;
}",double perimeter = circumference;
"#include <vector>
#include <numeric>

int main() {
  std::vector<int> numbers = {1, 2, 3, 4, 5};
  int sum = std::accumulate(numbers.begin(), numbers.end(), 0);
  
  // Incorrectly attempts to double the sum using multiplication
  int doubled_sum = sum * 2.0;
  
  std::cout << ""Original sum: "" << sum << std::endl;
  std::cout << ""Doubled sum: "" << doubled_sum << std::endl;
  
  return 0;
}",int doubled_sum = sum * 2.0;
"#include <ctime>
#include <iomanip>

int main() {
    std::srand(std::time(nullptr));
    
    int numbers[5];
    for (int i = 0; i < 5; ++i) {
        numbers[i] = std::rand() % 10;
    }
    
    int sum = 0;
    for (int i = 0; i <= 5; ++i) {  //Fault here. Should be i < 5
        sum += numbers[i];
    }
    
    std::cout << ""Sum: "" << sum << std::endl;
    
    return 0;
}",i <= 5
"#include <iostream>
#include <set>

int main() {
    std::set<int> numbers = {1, 2, 3, 4, 5};
    
    for (int num : numbers) {
        if (num == 3) {
            break;
        }
        numbers.insert(num * 2);
    }
    
    for (int num : numbers) {
        std::cout << num << "" "";
    }
    std::cout << std::endl;
    return 0;
}",numbers.insert(num * 2);
"#include <array>
#include <numeric>
#include <algorithm>
#include <iostream>

int main() {
    std::array<int, 5> data = {1, 2, 3, 4, 5};
    int sum = std::accumulate(data.begin(), data.end(), 0);

    // Incorrectly checking if the sum is equal to 15 using the wrong array size
    if (sum == 15) {
        std::cout << ""Sum is 15"" << std::endl;
    } else {
        std::cout << ""Sum is not 15"" << std::endl;
    }

    return 0;
}",if (sum == 15)
"#include <random> 
#include <iostream>
#include <numeric>

int main() {
    std::random_device rd; 
    std::mt19937 gen(rd());
    std::uniform_int_distribution<> distrib(1, 100);

    int arr[5];
    for (int i = 0; i < 5; ++i) {
        arr[i] = distrib(gen);
    }

    // Calculate the sum of elements using std::accumulate
    int sum = std::accumulate(arr, arr + 5, 0);

    // Incorrectly calculates the average by dividing by 6 instead of 5
    double average = static_cast<double>(sum) / 6;

    std::cout << ""Sum: "" << sum << std::endl;
    std::cout << ""Average: "" << average << std::endl;

    return 0;
}",double average = static_cast<double>(sum) / 6;
"#include <numeric>
#include <functional>

int main() {
    std::vector<int> numbers = {1, 2, 3, 4, 5};
    std::function<int(int)> accumulator = [](int acc, int x) { return acc - x; };
    int sum = 0; 
    for (int number : numbers) {
        sum = std::accumulate(numbers.begin(), numbers.end(), accumulator, sum);
    }
    std::cout << ""Sum: "" << sum << std::endl;
    return 0;
}",return acc - x;
"#include <map>
#include <iostream>

int main() {
    std::map<int, std::string> myMap;
    myMap[1] = ""one"";
    myMap[2] = ""two"";
    myMap[3] = ""three"";

    for (auto it = myMap.begin(); it != myMap.end(); ++it) {
        if (it->first == 2) {
            it = myMap.erase(it);
        }
        std::cout << it->first << "": "" << it->second << std::endl;
    }
    return 0;
}",it = myMap.erase(it);
"#include <algorithm>
#include <vector>

int main() {
    std::vector<int> data = {5, 2, 8, 1, 9, 4};
    int target = 7;

    auto it = std::find(data.begin(), data.end(), target);

    if (it != data.end()) {
        std::cout << ""Target found at index: "" << std::distance(data.begin(), it) << std::endl;
    } else {
        std::cout << ""Target not found."" << std::endl;
    }

    // Find the index of the *next* element after the target
    auto next_it = std::find(it != data.end() ? it + 1 : data.begin(), data.end(), target);
    
    if (next_it != data.end()) {
        std::cout << ""Next target found at index: "" << std::distance(data.begin(), next_it) << std::endl;
    } else {
        std::cout << ""Next target not found."" << std::endl;
    }

    return 0;
}",it + 1
